RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS_2017,Wi_2017
53,A2,326,Gostivar 3 (Zdunje) - Novo Selo (Cerovo),2017,10519,703,22.35,10.69,28.24,-3.71,762,56.67,239.36,208,1.191,3.55,0.4,2.15,1.8,81,1.81,3.42,0.0,30,2.0,0.57,0.19,6065,3.803
54,A2,327,Novo Selo (Cerovo) - Zajas 1 (D. Strogomishte),2017,22467,771,30.21,9.33,26.36,-4.52,1019,58.18,246.49,212,1.232,3.48,0.35,3.58,1.58,76,1.47,3.25,0.13,30,1.0,0.71,0.36,5658,10.015
55,A2,328,Zajas 1 (D. Strogomishte) - Kichevo 1 (Oslomej),2018,7834,679,20.17,11.07,28.75,-3.49,669,70.0,64.01,590,0.641,2.08,0.4,2.89,1.27,96,0.51,0.89,0.0,15,1.0,0.89,0.13,5658,10.212
56,A2,329,Kichevo 1 (Oslomej) - Kichevo 2,2018,634,671,19.38,11.21,28.94,-3.41,640,60.0,40.73,978,0.284,4.72,0.4,0.72,3.33,96,0.0,0.0,0.0,15,1.0,1.58,0.0,5658,0.0
57,A2,330,Kichevo 2 - Kichevo 3 (Bigor Dolenci),2018,2592,668,18.95,11.28,29.05,-3.37,625,50.0,67.15,1403,0.137,1.48,0.35,2.06,3.39,87,0.0,0.0,0.0,20,1.0,0.77,0.77,5658,0.0
58,A2,331,Kichevo 3 (Bigor Dolenci) - Kichevo 4,2013,293,668,19.03,11.27,29.02,-3.38,629,50.0,526.93,771,0.25,0.07,0.35,2.15,2.71,85,3.41,0.0,0.0,20,1.0,3.41,0.0,5658,0.0
59,A2,332,Kichevo 4 - Drugovo,2013,3511,669,19.05,11.27,29.02,-3.38,630,63.33,53.86,1076,0.288,0.83,0.4,3.6,1.99,86,0.57,0.85,0.0,25,1.0,1.42,0.0,6980,2.848
60,A2,333,Drugovo - Izvor,2013,8471,684,20.81,10.96,28.59,-3.56,685,65.0,161.49,290,1.124,3.03,0.4,4.26,2.35,81,1.53,3.42,0.12,25,1.0,0.35,0.12,6980,14.756
61,A2,334,Izvor - Botun,2013,26400,736,26.73,9.93,27.19,-4.16,886,67.78,118.22,526,0.674,3.12,0.4,4.29,3.01,77,0.72,1.93,0.11,30,1.0,0.11,0.61,6980,3.03
62,A2,335,Botun - Trebenishta,2013,9535,698,22.49,10.67,28.2,-3.73,741,61.43,64.53,690,0.422,0.96,0.35,6.23,3.34,56,0.52,1.26,0.42,30,1.0,0.21,0.52,5238,6.293
63,A2,336,Trebenishta - Podmolje,2013,5419,689,21.7,10.81,28.39,-3.65,709,70.0,124.01,1403,0.269,2.38,0.35,4.8,2.27,52,0.37,1.29,0.18,30,2.0,0.55,0.18,10766,3.691
64,A2,337,Podmolje - Struga,2013,6717,686,21.18,10.9,28.52,-3.59,696,58.57,23.04,2082,0.127,0.61,0.4,8.82,2.81,84,0.45,0.3,0.0,15,2.0,0.89,0.3,10766,13.399
65,A2,338,Struga - Drzhavna granica MK/AL (Kafasan),2013,12900,713,24.31,10.35,27.76,-3.91,799,,92.35,597,0.0,2.71,0.35,3.7,2.84,91,1.32,1.32,0.39,30,1.0,0.47,0.08,5228,3.876
66,A3,351,Podmolje - Ohrid 1 (Sv. Erazmo),2013,5171,686,21.26,10.88,28.5,-3.6,698,60.0,48.1,1309,0.212,2.5,0.35,4.05,2.15,64,0.58,0.19,0.0,30,2.0,0.39,0.19,10346,9.669
67,A3,352,Ohrid 1 (Sv. Erazmo) - Kosel,2013,8488,693,22.04,10.75,28.31,-3.68,721,48.75,21.06,1588,0.115,1.45,0.4,4.12,3.33,81,0.47,0.59,0.24,20,0.5,1.53,0.47,3318,0.0
68,A3,353,Makazi 1 (Kazhani) - Kazhani,2013,9946,768,31.59,9.09,26.03,-4.66,1010,77.5,117.95,425,1.09,6.62,0.35,3.79,1.54,81,1.11,1.81,0.2,20,0.5,0.1,0.6,3318,7.038
69,A3,354,Kazhani - Prevalec 1 (Rotinski),2013,6365,741,27.93,9.73,26.91,-4.28,906,90.0,42.53,1234,0.506,2.06,0.35,3.12,1.5,84,0.31,0.79,0.0,15,0.5,0.16,0.47,3318,4.713
70,A3,355,Prevalec 1 (Rotinski) - Snegovo (Bilbil kamen),2013,7090,716,24.84,10.26,27.65,-3.97,812,90.0,55.24,1023,0.611,3.35,0.35,3.1,1.41,84,0.28,1.27,0.0,15,0.5,0.14,0.28,3318,2.821
71,A3,356,Snegovo (Bilbil kamen) - Krklino,2018,7819,679,20.21,11.07,28.74,-3.49,671,66.0,58.46,1056,0.318,2.58,0.5,3.1,1.15,81,0.51,1.02,0.38,15,0.5,0.26,0.26,3318,28.137
72,A3,357,Krklino - Crna Zemja (Topolchani),2013,18891,659,17.87,11.47,29.31,-3.26,594,90.0,19.06,4542,0.138,0.81,0.4,2.61,2.58,80,0.21,0.16,0.0,15,1.0,0.05,0.26,4884,16.145
73,A3,358,Crna Zemja (Topolchani) - Novo Lagovo 2 (Prilep),2013,12255,668,18.95,11.28,29.05,-3.37,627,100.0,17.75,5691,0.136,0.48,0.35,2.71,2.33,81,0.16,0.08,0.08,20,1.0,0.16,0.16,4884,4.08
74,A3,359,Karatmanovo - Ovche Pole,2013,14261,577,7.76,13.22,31.71,-2.22,279,67.14,46.53,1704,0.204,1.63,0.35,2.66,1.87,80,0.28,0.63,0.56,11,1.0,0.49,0.07,6071,23.491
75,A3,360,Ovche Pole - Kadrifakovo 1 (Ovche Pole),2013,967,569,6.76,13.4,31.95,-2.12,250,55.0,43.95,645,0.362,1.66,0.35,5.55,1.86,84,0.0,1.03,1.03,11,1.0,2.07,0.0,6071,10.341
76,A3,362,Shtip (Tri Cheshmi - avtopat) - Shtip 1,2021,2423,585,8.69,13.06,31.49,-2.32,310,48.89,8.84,11190,0.016,1.4,0.35,5.82,2.08,94,0.0,0.0,0.0,20,2.0,0.41,0.41,5943,8.254
77,A3,364,Shtip 2 (kluchka) - Krupishte,2013,11531,578,7.94,13.19,31.67,-2.24,286,62.22,69.6,643,0.465,0.88,0.5,2.62,2.07,65,1.04,1.65,0.52,30,2.0,0.35,0.17,5643,19.946
78,A3,365,"Delchevo 1 (Dramche) - Delchevo 2 (Golak, Gabrovo)",2018,855,660,17.96,11.45,29.28,-3.27,596,,148.27,0,0.0,1.33,0.35,3.08,4.42,71,0.0,0.0,0.0,25,0.33,2.34,0.0,985,0.0
79,A3,366,"Delchevo 2 (Golak, Gabrovo) - Delchevo 3 (Trabotivishte)",2018,1034,661,18.09,11.43,29.25,-3.28,600,,30.91,1797,0.0,2.3,0.35,2.48,2.56,71,0.0,0.0,0.0,25,0.33,1.93,0.97,985,0.0
80,A3,367,Delchevo 3 (Trabotivishte) - Delchevo 4 (Dzhvegor),2018,339,664,18.54,11.35,29.14,-3.32,614,45.0,438.44,262,0.596,2.9,0.35,3.66,1.83,72,0.0,0.0,0.0,25,0.33,2.95,0.0,985,0.0
81,A3,368,Delchevo 4 (Dzhvegor) - Drzhavna granica MK/BG (Ramna Niva),2018,9709,737,27.15,9.86,27.09,-4.2,890,58.89,184.66,296,0.904,5.44,0.35,1.74,2.28,74,1.13,1.03,0.1,20,0.33,0.21,0.0,985,0.0
82,A3,369,Ovche Pole - Kadrifakovo 1 (Ovche Pole),2013,1025,569,6.79,13.39,31.95,-2.12,250,55.0,44.19,472,0.495,1.5,0.4,5.05,3.05,74,0.98,0.98,0.98,11,1.0,0.98,0.0,6071,0.0
83,A4,402,Shtip 1 (Tri Cheshmi) - Sofilari 1 (Lozhishte A4),2021,6115,576,7.8,13.22,31.71,-2.23,277,67.5,18.2,3189,0.11,1.91,0.35,6.05,1.12,94,0.33,0.33,0.16,2,1.0,0.49,0.49,4422,3.271
84,A4,403,Sofilari 1 (Lozhishte) - Sofilari 2 (Zavoj),2021,1013,571,7.0,13.36,31.9,-2.15,257,80.0,175.91,277,1.783,4.75,0.35,9.84,1.8,68,0.0,1.97,0.0,30,1.0,1.97,0.0,4422,0.0
85,A4,404,Novo Selo (Shopur) - Rudnik BuŔim,2013,6711,604,11.32,12.61,30.86,-2.59,383,55.71,118.68,253,0.947,1.66,0.4,3.22,1.18,68,0.75,1.64,0.0,30,1.0,0.3,0.6,4422,21.606
86,A4,405,Radovish 1 (Injevo) - Radovish 2 (Voislavci),2013,1312,602,10.85,12.69,30.98,-2.54,376,100.0,74.23,709,1.088,2.73,0.4,7.24,1.06,95,0.76,1.52,0.0,2,1.0,0.76,1.52,4422,0.0
87,A4,406,Radovish 2 (Voislavci) - Vladievci,2013,17997,583,8.6,13.08,31.51,-2.31,302,75.0,30.02,1896,0.229,0.8,0.4,3.87,2.05,89,0.56,0.56,0.17,11,1.0,0.22,0.61,4663,5.834
88,A4,407,Vladievci - Gradoshorci,2013,4781,570,6.87,13.38,31.92,-2.13,254,67.5,43.0,629,0.559,0.94,0.4,7.33,2.17,89,0.84,1.46,0.42,11,1.0,0.63,0.21,4663,4.183
89,A4,408,Gradoshorci - Strumica 1 (kruzhen tok),2013,3915,564,6.18,13.5,32.09,-2.06,229,48.33,85.03,4243,0.042,0.87,0.4,4.22,2.38,86,0.26,0.51,0.0,15,1.0,0.51,0.51,4663,10.217
90,A4,409,Strumica 1 (kruzhen tok) - Strumica 2 (Silosi),2013,1140,563,5.98,13.53,32.14,-2.04,225,40.0,107.96,0,0.0,0.38,0.35,5.26,3.34,86,0.0,0.0,0.0,15,1.0,3.51,0.0,4663,8.772
91,A3,410,Shtip (Tri Cheshmi - avtopat) - Krupishte (avtopat),2020,14119,589,9.15,12.98,31.38,-2.37,325,100.0,48.71,1349,0.572,2.84,0.5,0.0,1.12,94,0.35,0.35,0.21,3,2.0,0.14,0.5,0,0.0
92,A4,411,Sofilari 1 (Lozhishte A4) - Novo Selo (shopur a4),2021,15173,582,8.43,13.11,31.55,-2.29,298,,34.09,2378,0.0,1.78,0.5,,1.12,94,0.33,0.46,0.26,2,2.0,0.13,0.99,0,0.0
93,A4,412,Novo Selo (shopur A4) - Radovish 1 (Injevo),2021,14854,614,12.61,12.38,30.55,-2.72,420,72.5,45.27,809,0.501,1.63,0.4,,1.45,94,0.47,0.81,0.34,2,2.0,0.13,0.88,0,0.0
94,A3,413,Krupishte (avtopat) - Trkanje (avtopat),2022,12696,586,8.88,13.03,31.45,-2.34,315,100.0,28.53,2628,0.294,1.04,0.5,0.0,0.0,92,0.39,0.39,0.32,3,1.0,0.24,0.39,0,0.0
95,A1,1002,Gradsko 1 (avtopat) - Rosoman,2013,4272,545,3.79,13.91,32.66,-1.82,156,65.0,36.9,1739,0.187,1.54,0.35,3.6,1.83,74,0.47,0.47,0.23,20,1.0,0.47,0.0,4691,0.0
96,A1,1003,Rosoman - Drenovo (Vozarci),2013,11045,548,4.01,13.87,32.61,-1.84,171,69.09,57.98,708,0.52,1.49,0.35,3.66,2.4,74,0.81,1.27,0.09,20,1.0,0.54,0.45,4691,1.811
97,A1,1004,Drenovo (Vozarci) - Belovodica,2019,23468,600,11.49,12.58,30.82,-2.6,366,63.04,174.31,333,0.921,2.58,0.35,4.85,2.0,84,1.32,2.26,0.04,15,1.0,0.21,0.34,4663,5.113
98,A1,1005,Belovodica - Prilep 1 (Kluchka Mogila),2013,14641,715,24.32,10.35,27.77,-3.92,805,78.57,98.1,427,1.116,3.7,0.35,5.45,2.12,84,0.68,1.16,0.34,15,1.0,0.34,0.34,4663,0.0
99,A1,1006,Prilep 1 (Kluchka Mogila) - Novo Lagovo 2 (Prilep),2013,3848,676,20.02,11.1,28.79,-3.48,659,75.0,17.82,4466,0.097,0.88,0.35,3.58,2.34,75,0.26,0.0,0.0,20,1.0,0.52,0.52,4884,27.287
100,A3,1021,Kosel - Jankovec,2013,26082,750,29.28,9.49,26.58,-4.42,937,61.18,157.2,250,1.155,3.83,0.35,2.8,2.08,82,1.19,2.19,0.19,25,1.0,0.35,0.27,3225,4.601
101,A3,1022,Jankovec - Resen,2013,2158,739,27.7,9.77,26.96,-4.26,896,55.0,117.12,228,1.024,0.76,0.35,4.82,2.29,81,0.46,0.46,0.0,25,1.0,1.85,0.0,3225,0.0
102,A3,1023,Resen - Makazi 1 (Kazhani),2013,5825,735,27.15,9.86,27.09,-4.2,883,61.67,115.0,172,1.706,1.04,0.4,2.76,2.82,80,0.86,0.69,0.17,20,1.0,2.92,0.17,3318,14.592
103,A3,1024,Krupishte - Chiflik,2013,5478,581,8.24,13.14,31.6,-2.27,295,53.33,43.18,548,0.4,0.47,0.35,2.16,1.81,59,0.91,1.83,0.0,30,1.0,0.73,0.37,5643,3.651
104,A3,1025,Chiflik - Trkanje (autoput),2013,6347,585,8.68,13.06,31.5,-2.32,310,70.0,24.81,973,0.389,1.51,0.35,2.09,1.6,59,0.32,0.47,0.16,30,1.0,1.1,0.32,5643,1.576
105,A3,1026,Trkanje (autoput) - Kochani 1 (Beli),2013,2431,590,9.38,12.94,31.33,-2.39,331,73.33,32.58,1551,0.268,1.38,0.35,2.0,2.39,68,0.82,0.82,0.0,30,1.0,1.23,0.41,5643,12.341
106,A3,1027,Kochani 1 (Beli) - Kochani 2 (Grdovci),2013,1782,590,9.41,12.94,31.32,-2.39,332,80.0,22.57,1315,0.376,2.62,0.5,5.86,2.89,78,1.12,1.12,0.56,20,1.0,1.12,1.12,5643,16.835
107,A3,1028,Kochani 2 (Grdovci) - Kochani 3 (Granit),2013,3734,594,9.73,12.88,31.25,-2.43,344,70.0,21.49,1134,0.333,1.82,0.5,6.35,2.79,78,0.8,0.54,0.27,20,1.0,0.27,0.27,5691,2.678
108,A3,1029,Kochani 3 (Granit) - Prevalec 2 (Kochansko),2013,1625,601,10.63,12.72,31.03,-2.52,373,60.0,63.27,375,0.741,2.02,0.5,1.74,1.82,78,0.62,0.62,1.23,20,1.0,1.23,0.0,5691,18.462
109,A3,1030,Prevalec 2 (Kochansko) - Istibanja,2013,3265,601,10.58,12.73,31.04,-2.51,368,50.0,149.61,247,0.781,2.2,0.35,2.78,1.72,79,0.61,0.92,0.92,20,0.5,0.61,0.61,2001,29.096
110,A3,1031,Istibanja - Makedonska Kamenica,2013,17857,624,13.63,12.21,30.3,-2.82,456,51.5,236.07,185,1.106,1.65,0.35,3.12,1.95,79,1.29,1.51,0.11,25,0.5,0.45,0.62,2001,2.8
111,A3,1032,Makedonska Kamenica - Dramche,2013,12200,647,16.43,11.72,29.64,-3.11,547,66.67,203.46,195,1.759,4.13,0.35,3.9,1.71,80,1.07,2.05,0.16,25,0.5,0.9,0.49,2440,7.787
112,A3,1033,Dramche - Delchevo 1 (Dramche),2013,11058,653,17.16,11.59,29.47,-3.18,568,60.0,154.07,327,0.849,2.56,0.35,1.74,1.76,80,0.99,1.54,0.09,15,0.5,0.54,0.36,2440,24.869
113,A3,1041,Krklino - Gorno Orizari,2013,712,660,17.98,11.45,29.28,-3.27,597,55.0,246.86,298,0.783,0.43,0.35,0.0,2.99,81,0.0,0.0,0.0,14,0.5,1.4,1.4,3011,0.0
114,A3,1042,Gorno Orizari - Bitola 1 (crkva Sv. Nedela),2013,3761,661,18.07,11.43,29.25,-3.28,599,65.0,92.55,627,0.52,1.27,0.35,3.96,2.55,81,0.53,0.0,0.0,14,0.5,2.39,0.27,3011,5.318
115,A3,1043,Bitola 1 (crkva Sv. Nedela) - Bitola 2 (Herakleja Linkestis),2013,3081,661,18.1,11.43,29.25,-3.28,601,46.67,226.3,148,1.136,1.11,0.35,4.22,4.09,81,0.97,1.3,0.0,21,0.5,4.54,0.32,3011,0.0
116,A3,1044,Bitola 2 (Herakleja Linkestis) - Kravari,2013,4742,659,17.81,11.48,29.32,-3.25,592,62.5,20.63,831,0.363,0.35,0.35,1.64,2.52,66,0.42,0.0,0.21,27,0.5,1.69,0.21,3011,4.218
117,A3,1045,Kravari - Medzhitlija,2013,7484,656,17.56,11.52,29.38,-3.22,583,70.0,58.07,834,0.453,0.17,0.35,0.85,2.05,65,0.94,1.34,0.13,30,0.5,0.94,0.4,3011,14.03
118,A3,1046,Medzhitlija - Drzhavna granica MK/GR (Med─╣─żitlija),2013,918,658,17.72,11.5,29.34,-3.24,588,55.0,95.08,382,0.611,1.26,0.35,1.63,2.88,81,1.09,1.09,0.0,16,0.5,2.18,0.0,3011,0.0
