RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS_2017,Wi_2017
142,A2,9051,Miladinovci 1 (avtopat) - Ilinden (avtopat),2013,7966,571,7.01,13.35,31.89,-2.15,260,78.33,44.74,2613,0.181,1.57,0.4,5.43,1.92,76,0.13,0.0,0.0,18,2.0,0.38,0.75,7348,1.255
143,A2,9052,Ilinden (avtopat) - Indzhikovo(avtopat),2019,4002,564,6.2,13.49,32.09,-2.06,232,92.0,101.14,2062,0.317,1.96,0.4,6.22,2.26,89,0.5,0.75,0.0,18,2.0,0.5,0.25,7348,9.995
144,A2,9053,Indzhikovo (avtopat) - Chento 2 (avtopat),2019,2540,564,6.19,13.5,32.09,-2.06,232,90.0,12.87,15900,0.039,1.62,0.4,5.73,2.14,76,0.0,0.39,0.0,18,2.0,0.39,0.0,6167,0.0
145,A2,9054,Chento 2 (avtopat) - Kluchka Stenkovec,2019,14328,579,8.06,13.17,31.64,-2.25,289,80.0,20.57,3010,0.164,0.88,0.5,5.62,2.07,64,0.14,0.63,0.21,18,2.0,0.35,0.63,6167,2.792
146,A2,9055,Kluchka Stenkovec - Saraj 1 (avtopat),2019,9199,587,8.94,13.02,31.43,-2.34,317,120.0,33.28,4165,0.267,4.31,0.5,5.75,1.69,69,0.22,0.43,0.0,18,2.0,0.33,0.98,6139,0.0
147,A2,9056,Saraj 1 (avtopat) - D. Grchec (avtopat),2019,2033,578,7.82,13.21,31.7,-2.23,283,110.0,54.72,1956,0.477,2.16,0.5,6.85,2.5,74,0.49,0.49,0.0,18,2.0,0.49,1.97,11935,14.757
148,A2,9057,D. Grchec (avtopat) - Grupchin (avtopat),2013,15274,601,10.67,12.72,31.02,-2.52,369,92.0,35.65,6338,0.103,1.92,0.35,5.85,2.14,74,0.46,0.92,0.07,24,2.0,0.2,0.46,11935,10.803
149,A2,9058,Grupchin (avtopat) - Zhelino 1 (avtopat),2013,7945,626,13.94,12.15,30.24,-2.86,468,96.67,37.2,1293,0.558,1.84,0.5,5.43,1.77,79,0.38,0.63,0.0,24,2.0,0.25,0.76,13406,10.069
150,A2,9059,Zhelino 1 (avtopat) - Tetovo 1 (avtopat),2013,6839,616,12.5,12.4,30.58,-2.71,428,108.0,29.22,3342,0.269,2.06,0.5,6.2,1.56,79,0.44,0.73,0.0,24,2.0,0.15,0.73,13406,8.773
151,A2,9060,Tetovo 1 (avtopat) - Blatishte (Kamenjane) (avtopat),2013,7500,622,13.27,12.27,30.4,-2.79,451,96.67,17.94,11630,0.062,0.44,0.35,7.3,2.29,80,0.13,0.53,0.0,24,2.0,0.53,0.8,13087,0.0
152,A4,9151,Indzhikovo (avtopat) - Petrovec 1 (avtopat),2013,11502,563,6.13,13.5,32.1,-2.06,229,77.14,32.42,33355,0.014,0.61,0.4,6.33,2.17,66,0.09,0.26,0.09,16,2.0,0.26,0.35,16099,0.869
153,A4,9152,Miladinovci 1 (avtopat) - Sredno Konjari (avtopat),2019,6440,590,9.31,12.95,31.34,-2.38,328,110.0,70.41,1250,0.747,4.48,0.4,1.0,1.41,88,0.31,0.62,0.16,4,1.0,0.16,0.31,0,0.0
154,A4,9153,Sredno Konjari (avtopat) - Preod (avtopat),2019,15209,613,12.17,12.46,30.65,-2.67,417,110.0,33.77,2104,0.444,3.03,0.4,1.22,1.2,89,0.26,0.33,0.2,4,1.0,0.13,0.46,0,0.0
155,A4,9154,Preod (avtopat) - Sveti Nikole S (avtopat),2019,6883,587,9.01,13.01,31.41,-2.35,319,110.0,17.44,2263,0.413,1.7,0.4,1.05,0.94,89,0.44,0.29,0.15,4,1.0,0.15,0.44,0,0.0
156,A4,9155,Sveti Nikole S (avtopat) - Sveti Nikole J (avtopat),2019,3233,576,7.69,13.24,31.73,-2.22,278,110.0,66.35,920,1.015,0.8,0.4,1.75,1.02,88,0.62,1.24,0.0,4,1.0,0.31,1.24,0,0.0
157,A4,9156,Sveti Nikole J (avtopat) - Kadrifakovo (avtopat),2019,8662,570,6.91,13.37,31.92,-2.14,254,110.0,19.51,2618,0.357,0.63,0.4,1.23,0.8,89,0.0,0.35,0.23,4,1.0,0.23,0.58,0,0.0
158,A3,9158,Kadrifakovo (avtopat) - Shtip (Tri Cheshmi - avtopat),2019,8243,581,7.98,13.19,31.66,-2.25,294,110.0,6.21,7086,0.132,0.74,0.4,1.0,1.06,90,0.24,0.12,0.12,23,2.0,0.24,0.12,5943,0.0
159,A2,9321,Blatishte (Kamenjane) (avtopat) - Remenica (Negotino Poloshko) (avtopat),2013,8233,630,14.37,12.08,30.14,-2.9,483,100.0,2.07,0,0.0,0.66,0.4,5.73,1.79,61,0.0,0.0,0.0,19,2.0,0.24,0.36,13087,0.0
160,A2,9322,Remenica (Negotino Poloshko) (avtopat) - Tumchevishte (avtopat),2013,2167,636,15.09,11.95,29.97,-2.97,507,106.67,2.53,0,0.0,1.72,0.35,5.85,2.67,64,0.0,0.0,0.0,19,2.0,0.46,0.46,13087,0.0
161,A2,9323,Tumchevishte (avtopat) - Gostivar 1 (avtopat),2013,3936,637,15.19,11.93,29.95,-2.98,511,120.0,7.63,0,0.0,0.87,0.4,6.22,2.07,72,0.0,0.0,0.0,24,2.0,0.51,0.25,13087,2.541
