RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS 2014,PGDS 2015,PGDS 2016,PGDS 2017,PGDS 2018,PGDS 2019,PGDS 2020,PGDS 2021,PGDS 2022,PGDS 2023,Wi 2014,Wi 2015,Wi 2016,Wi 2017,Wi 2018,Wi 2019,Wi 2020,Wi 2021,Wi 2022,Wi 2023
140,A1,9017,Prdejci (avtopat) - Gevgelija 1 (avtopat),2015,6230,519,0.63,14.46,33.42,-1.5,59,105,21.13,4508,0.189,0.98,0.4,5.39,2.05,84,0.32,0.48,0,12,2,0.16,0.48,5155,6831,6682,6735,6633,9421,3963,5930,7151,7681,0,0,0,1.605,1.605,1.605,0,1.605,0,1.605
141,A1,9018,Gevgelija 1 (avtopat) - Drzhavna granica MK/GR (Bogorodica),2017,3907,520,0.64,14.46,33.41,-1.5,63,65,55.18,4593,0.071,1.93,0.5,5.59,2.19,79,0.51,0.77,0,11,2,0.26,0.26,8148,8881,9188,9127,8977,10650,4052,4159,4911,8163,2.56,24.315,0,0,0,0,7.679,5.119,2.56,0
142,A2,9051,Miladinovci 1 (avtopat) - Ilinden (avtopat),2013,7966,571,7.01,13.35,31.89,-2.15,260,78.33,44.74,2613,0.181,1.57,0.4,5.43,1.92,76,0.13,0,0,18,2,0.38,0.75,6595,7316,7311,7348,7441,15836,11751,15241,15493,17191,0,11.926,0,1.255,6.277,2.511,15.064,10.043,1.255,3.766
143,A2,9052,Ilinden (avtopat) - Indzhikovo(avtopat),2019,4002,564,6.2,13.49,32.09,-2.06,232,92,101.14,2062,0.317,1.96,0.4,6.22,2.26,89,0.5,0.75,0,18,2,0.5,0.25,6595,7316,7311,7348,7441,15836,11751,15241,15493,17191,0,26.237,4.998,9.995,0,0,4.998,2.499,23.738,0
144,A2,9053,Indzhikovo (avtopat) - Chento 2 (avtopat),2019,2540,564,6.19,13.5,32.09,-2.06,232,90,12.87,15900,0.039,1.62,0.4,5.73,2.14,76,0,0.39,0,18,2,0.39,0,4265,4288,5636,6167,6484,14432,11780,14648,12978,17075,0,0,0,0,31.496,0,0,0,19.685,3.937
145,A2,9054,Chento 2 (avtopat) - Kluchka Stenkovec,2019,14328,579,8.06,13.17,31.64,-2.25,289,80,20.57,3010,0.164,0.88,0.5,5.62,2.07,64,0.14,0.63,0.21,18,2,0.35,0.63,4265,4288,5636,6167,6484,14432,11780,14648,12978,17075,0.698,0.698,2.094,2.792,16.052,2.792,0,0,7.328,9.422
146,A2,9055,Kluchka Stenkovec - Saraj 1 (avtopat),2019,9199,587,8.94,13.02,31.43,-2.34,317,120,33.28,4165,0.267,4.31,0.5,5.75,1.69,69,0.22,0.43,0,18,2,0.33,0.98,4347,4421,5776,6139,6343,14397,12771,17002,16931,18285,0,2.174,3.261,0,5.435,2.174,1.087,2.174,3.261,6.522
147,A2,9056,Saraj 1 (avtopat) - D. Grchec (avtopat),2019,2033,578,7.82,13.21,31.7,-2.23,283,110,54.72,1956,0.477,2.16,0.5,6.85,2.5,74,0.49,0.49,0,18,2,0.49,1.97,9677,10172,11857,11935,12655,15259,11061,15861,15744,16958,0,0,0,14.757,0,0,24.594,19.675,9.838,61.485
148,A2,9057,D. Grchec (avtopat) - Grupchin (avtopat),2013,15274,601,10.67,12.72,31.02,-2.52,369,92,35.65,6338,0.103,1.92,0.35,5.85,2.14,74,0.46,0.92,0.07,24,2,0.2,0.46,9677,10172,11857,11935,12655,15259,11061,15861,15744,16958,2.619,8.184,14.731,10.803,0,1.309,0,0,0,0.655
149,A2,9058,Grupchin (avtopat) - Zhelino 1 (avtopat),2013,7945,626,13.94,12.15,30.24,-2.86,468,96.67,37.2,1293,0.558,1.84,0.5,5.43,1.77,79,0.38,0.63,0,24,2,0.25,0.76,11118,11582,12830,13406,13780,14551,12650,15937,14980,16222,7.552,5.035,22.026,10.069,0,2.517,0,0,3.776,3.776
150,A2,9059,Zhelino 1 (avtopat) - Tetovo 1 (avtopat),2013,6839,616,12.5,12.4,30.58,-2.71,428,108,29.22,3342,0.269,2.06,0.5,6.2,1.56,79,0.44,0.73,0,24,2,0.15,0.73,11118,11582,12830,13406,13780,14551,12650,15937,14980,16222,1.462,4.387,10.235,8.773,0,2.924,0,1.462,7.311,2.924
151,A2,9060,Tetovo 1 (avtopat) - Blatishte (Kamenjane) (avtopat),2013,7500,622,13.27,12.27,30.4,-2.79,451,96.67,17.94,11630,0.062,0.44,0.35,7.3,2.29,80,0.13,0.53,0,24,2,0.53,0.8,12937,12958,12704,13087,13802,16300,13647,17415,17428,18833,0,2.667,0,0,0,0,0,2.667,4,4
152,A4,9151,Indzhikovo (avtopat) - Petrovec 1 (avtopat),2013,11502,563,6.13,13.5,32.1,-2.06,229,77.14,32.42,33355,0.014,0.61,0.4,6.33,2.17,66,0.09,0.26,0.09,16,2,0.26,0.35,10494,12972,18112,16099,16422,18658,13349,16445,18406,14405,0,0,0,0.869,2.608,1.739,6.955,1.739,20.866,6.086
153,A4,9152,Miladinovci 1 (avtopat) - Sredno Konjari (avtopat),2019,6440,590,9.31,12.95,31.34,-2.38,328,110,70.41,1250,0.747,4.48,0.4,1,1.41,88,0.31,0.62,0.16,4,1,0.16,0.31,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,22.516,32.609,4.658,1.553
154,A4,9153,Sredno Konjari (avtopat) - Preod (avtopat),2019,15209,613,12.17,12.46,30.65,-2.67,417,110,33.77,2104,0.444,3.03,0.4,1.22,1.2,89,0.26,0.33,0.2,4,1,0.13,0.46,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0.658,0,0.658,1.973,0.658
155,A4,9154,Preod (avtopat) - Sveti Nikole S (avtopat),2019,6883,587,9.01,13.01,31.41,-2.35,319,110,17.44,2263,0.413,1.7,0.4,1.05,0.94,89,0.44,0.29,0.15,4,1,0.15,0.44,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,0,0,1.453,0
156,A4,9155,Sveti Nikole S (avtopat) - Sveti Nikole J (avtopat),2019,3233,576,7.69,13.24,31.73,-2.22,278,110,66.35,920,1.015,0.8,0.4,1.75,1.02,88,0.62,1.24,0,4,1,0.31,1.24,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,9.279,0,0,3.093,6.186,0
157,A4,9156,Sveti Nikole J (avtopat) - Kadrifakovo (avtopat),2019,8662,570,6.91,13.37,31.92,-2.14,254,110,19.51,2618,0.357,0.63,0.4,1.23,0.8,89,0,0.35,0.23,4,1,0.23,0.58,0,0,0,0,2340,6421,5381,5208,7009,7312,0,0,0,0,0,0,0,1.154,0,0
158,A3,9158,Kadrifakovo (avtopat) - Shtip (Tri Cheshmi - avtopat),2019,8243,581,7.98,13.19,31.66,-2.25,294,110,6.21,7086,0.132,0.74,0.4,1,1.06,90,0.24,0.12,0.12,23,2,0.24,0.12,3848,4848,5783,5943,5991,9380,7414,9139,8319,8094,4.853,2.426,0,0,0,0,0,0,0,1.213
159,A2,9321,Blatishte (Kamenjane) (avtopat) - Remenica (Negotino Poloshko) (avtopat),2013,8233,630,14.37,12.08,30.14,-2.9,483,100,2.07,0,0,0.66,0.4,5.73,1.79,61,0,0,0,19,2,0.24,0.36,12937,12958,12704,13087,13802,16300,13647,17415,17428,18883,16.397,3.644,0,0,0,0,0,1.215,10.932,4.858
160,A2,9322,Remenica (Negotino Poloshko) (avtopat) - Tumchevishte (avtopat),2013,2167,636,15.09,11.95,29.97,-2.97,507,106.67,2.53,0,0,1.72,0.35,5.85,2.67,64,0,0,0,19,2,0.46,0.46,12937,12958,12704,13087,13802,16300,13647,17415,17428,18883,32.303,13.844,0,0,0,0,0,0,0,9.229
161,A2,9323,Tumchevishte (avtopat) - Gostivar 1 (avtopat),2013,3936,637,15.19,11.93,29.95,-2.98,511,120,7.63,0,0,0.87,0.4,6.22,2.07,72,0,0,0,24,2,0.51,0.25,12937,12958,12704,13087,13802,16300,13647,17415,17428,18883,12.703,7.622,0,2.541,0,0,2.541,5.081,10.163,7.622
