feature,importance_mean,importance_std,importance_mean_clipped,percentage
LENGTH SECTION,0.091,0.005,0.091,12.68
Ave_Inc,0.084,0.008,0.084,11.678
PCI,0.049,0.006,0.049,6.829
RDB_RUT ,0.042,0.009,0.042,5.829
K.Bridges,0.036,0.004,0.036,4.97
K.Int. P.T,0.032,0.004,0.032,4.454
Max_Snow,0.031,0.006,0.031,4.287
Аve_Height,0.03,0.006,0.03,4.109
Ave_Temp,0.028,0.007,0.028,3.866
Max_Temp,0.028,0.005,0.028,3.846
SSD H,0.023,0.003,0.023,3.204
RB,0.023,0.005,0.023,3.188
KON.NAK.,0.023,0.006,0.023,3.186
IRI,0.023,0.003,0.023,3.172
S_NUMBER,0.022,0.005,0.022,3.09
Min_Temp,0.021,0.002,0.021,2.873
LIMIT,0.02,0.003,0.02,2.751
Ave_Rain,0.019,0.003,0.019,2.684
Lat_Force,0.019,0.003,0.019,2.617
PGDS_2021,0.018,0.003,0.018,2.56
Kr.Kar.,0.014,0.002,0.014,1.908
V sign,0.013,0.003,0.013,1.833
Datum,0.011,0.001,0.011,1.514
SSD V,0.008,0.002,0.008,1.117
Ave_Rad,0.007,0.001,0.007,1.032
H sign,0.003,0.001,0.003,0.385
SKIDRES,0.002,0.0,0.002,0.336
