feature,importance_mean,importance_std,importance_mean_clipped,percentage
SSD V,0.104,0.008,0.104,12.32
KON.NAK.,0.067,0.007,0.067,7.932
IRI,0.065,0.01,0.065,7.763
Ave_Rad,0.062,0.009,0.062,7.4
LENGTH SECTION,0.056,0.007,0.056,6.599
LIMIT,0.053,0.009,0.053,6.295
RDB_RUT ,0.041,0.012,0.041,4.867
K.Bridges,0.04,0.009,0.04,4.75
Kr.Kar.,0.039,0.009,0.039,4.682
Lat_Force,0.026,0.003,0.026,3.1
PGDS_2018,0.024,0.01,0.024,2.908
SSD H,0.024,0.003,0.024,2.806
S_NUMBER,0.022,0.003,0.022,2.662
Max_Snow,0.022,0.003,0.022,2.643
V sign,0.021,0.01,0.021,2.468
Аve_Height,0.021,0.003,0.021,2.446
Ave_Rain,0.019,0.003,0.019,2.274
Min_Temp,0.019,0.003,0.019,2.251
Max_Temp,0.018,0.005,0.018,2.138
K.Int. P.T,0.018,0.002,0.018,2.102
RB,0.017,0.002,0.017,2.07
Ave_Temp,0.017,0.002,0.017,2.053
PCI,0.016,0.004,0.016,1.931
Ave_Inc,0.012,0.001,0.012,1.459
SKIDRES,0.011,0.003,0.011,1.307
Datum,0.003,0.001,0.003,0.401
H sign,0.003,0.001,0.003,0.372
