feature,importance_mean,importance_std,importance_mean_clipped,percentage
Ave_Inc,0.093,0.009,0.093,13.988
PCI,0.081,0.004,0.081,12.091
LENGTH SECTION,0.073,0.004,0.073,10.905
RDB_RUT ,0.062,0.013,0.062,9.243
IRI,0.043,0.003,0.043,6.522
K.Bridges,0.034,0.003,0.034,5.102
K.Int. P.T,0.033,0.005,0.033,4.956
KON.NAK.,0.029,0.01,0.029,4.389
SSD H,0.024,0.005,0.024,3.54
S_NUMBER,0.019,0.006,0.019,2.805
Max_Temp,0.017,0.006,0.017,2.613
LIMIT,0.016,0.003,0.016,2.466
Аve_Height,0.014,0.005,0.014,2.159
RB,0.014,0.005,0.014,2.14
Max_Snow,0.014,0.005,0.014,2.046
Ave_Temp,0.014,0.005,0.014,2.037
Datum,0.013,0.003,0.013,1.88
Ave_Rain,0.012,0.004,0.012,1.859
Min_Temp,0.012,0.001,0.012,1.786
PGDS_2020,0.009,0.002,0.009,1.36
V sign,0.009,0.002,0.009,1.348
Lat_Force,0.009,0.001,0.009,1.315
Ave_Rad,0.007,0.001,0.007,1.014
Kr.Kar.,0.007,0.002,0.007,1.006
SSD V,0.005,0.001,0.005,0.804
SKIDRES,0.003,0.002,0.003,0.476
H sign,0.001,0.0,0.001,0.15
