feature,importance_mean,importance_std,importance_mean_clipped,percentage
SSD V,0.128,0.009,0.128,12.619
LIMIT,0.099,0.016,0.099,9.741
Ave_Rad,0.066,0.01,0.066,6.553
K.Bridges,0.061,0.006,0.061,5.988
S_NUMBER,0.059,0.01,0.059,5.787
RB,0.056,0.011,0.056,5.488
LENGTH SECTION,0.045,0.003,0.045,4.424
K.Int. P.T,0.044,0.005,0.044,4.345
Kr.Kar.,0.037,0.006,0.037,3.684
PGDS_2019,0.033,0.004,0.033,3.24
Ave_Inc,0.032,0.004,0.032,3.193
Max_Temp,0.028,0.003,0.028,2.732
Max_Snow,0.027,0.003,0.027,2.709
KON.NAK.,0.027,0.003,0.027,2.667
Lat_Force,0.026,0.002,0.026,2.603
V sign,0.026,0.004,0.026,2.569
PCI,0.026,0.002,0.026,2.539
Аve_Height,0.026,0.002,0.026,2.52
Ave_Rain,0.025,0.003,0.025,2.457
RDB_RUT ,0.024,0.003,0.024,2.379
Datum,0.023,0.005,0.023,2.253
Ave_Temp,0.021,0.002,0.021,2.113
SSD H,0.021,0.002,0.021,2.073
Min_Temp,0.019,0.002,0.019,1.917
IRI,0.019,0.001,0.019,1.865
H sign,0.008,0.001,0.008,0.807
SKIDRES,0.007,0.001,0.007,0.738
