feature,importance_mean,importance_std,importance_mean_clipped,percentage
PGDS_2016,0.091,0.021,0.091,8.954
LIMIT,0.09,0.023,0.09,8.874
IRI,0.057,0.013,0.057,5.672
Аve_Height,0.051,0.008,0.051,5.07
S_NUMBER,0.051,0.008,0.051,4.991
Max_Temp,0.049,0.007,0.049,4.827
Max_Snow,0.049,0.008,0.049,4.812
Min_Temp,0.048,0.008,0.048,4.706
RB,0.047,0.007,0.047,4.616
Ave_Rain,0.046,0.007,0.046,4.528
Ave_Temp,0.045,0.006,0.045,4.431
KON.NAK.,0.041,0.008,0.041,4.056
SSD H,0.039,0.004,0.039,3.852
Kr.Kar.,0.035,0.006,0.035,3.417
K.Int. P.T,0.033,0.005,0.033,3.251
RDB_RUT ,0.033,0.008,0.033,3.234
Ave_Inc,0.032,0.006,0.032,3.136
K.Bridges,0.03,0.005,0.03,2.937
Ave_Rad,0.027,0.003,0.027,2.692
LENGTH SECTION,0.022,0.003,0.022,2.136
V sign,0.021,0.004,0.021,2.116
PCI,0.02,0.003,0.02,1.928
Lat_Force,0.019,0.002,0.019,1.897
Datum,0.012,0.004,0.012,1.199
SSD V,0.011,0.003,0.011,1.136
H sign,0.009,0.001,0.009,0.93
SKIDRES,0.006,0.002,0.006,0.599
