feature,importance_mean,importance_std,importance_mean_clipped,percentage
SSD V,0.087,0.011,0.087,9.065
LIMIT,0.071,0.011,0.071,7.457
RDB_RUT ,0.045,0.004,0.045,4.697
S_NUMBER,0.044,0.007,0.044,4.629
SSD H,0.043,0.004,0.043,4.451
KON.NAK.,0.041,0.004,0.041,4.264
RB,0.04,0.007,0.04,4.201
IRI,0.04,0.004,0.04,4.153
PGDS_2017,0.039,0.007,0.039,4.08
Аve_Height,0.036,0.003,0.036,3.732
PCI,0.035,0.004,0.035,3.678
K.Int. P.T,0.035,0.003,0.035,3.613
Ave_Rain,0.034,0.003,0.034,3.589
Kr.Kar.,0.034,0.003,0.034,3.56
Ave_Inc,0.034,0.003,0.034,3.555
Ave_Rad,0.033,0.003,0.033,3.404
Lat_Force,0.032,0.002,0.032,3.35
Max_Snow,0.031,0.002,0.031,3.283
Max_Temp,0.031,0.003,0.031,3.191
Ave_Temp,0.03,0.003,0.03,3.173
Min_Temp,0.029,0.002,0.029,3.023
LENGTH SECTION,0.028,0.004,0.028,2.944
K.Bridges,0.027,0.003,0.027,2.807
V sign,0.025,0.003,0.025,2.585
Datum,0.016,0.003,0.016,1.621
SKIDRES,0.013,0.002,0.013,1.328
H sign,0.005,0.001,0.005,0.567
