feature,importance_mean,importance_std,importance_mean_clipped,percentage
RDB_RUT ,0.151,0.022,0.151,15.677
LIMIT,0.099,0.018,0.099,10.225
PGDS_2015,0.095,0.023,0.095,9.893
SSD V,0.086,0.006,0.086,8.933
K.Int. P.T,0.046,0.007,0.046,4.802
KON.NAK.,0.042,0.005,0.042,4.373
S_NUMBER,0.041,0.008,0.041,4.237
LENGTH SECTION,0.04,0.005,0.04,4.174
RB,0.031,0.004,0.031,3.263
PCI,0.031,0.005,0.031,3.23
K.Bridges,0.03,0.007,0.03,3.118
Kr.Kar.,0.027,0.004,0.027,2.822
IRI,0.024,0.003,0.024,2.533
Ave_Rad,0.022,0.002,0.022,2.307
V sign,0.021,0.003,0.021,2.154
Lat_Force,0.019,0.003,0.019,1.99
SSD H,0.019,0.003,0.019,1.948
Ave_Inc,0.019,0.002,0.019,1.936
Max_Temp,0.017,0.002,0.017,1.755
Max_Snow,0.016,0.001,0.016,1.69
Аve_Height,0.016,0.002,0.016,1.661
Ave_Rain,0.016,0.002,0.016,1.658
Min_Temp,0.016,0.002,0.016,1.634
Ave_Temp,0.014,0.002,0.014,1.442
SKIDRES,0.01,0.002,0.01,1.021
Datum,0.008,0.001,0.008,0.876
H sign,0.006,0.002,0.006,0.65
