feature,importance_mean,importance_std,importance_mean_clipped,percentage
LENGTH SECTION,0.15,0.02,0.15,22.222
K.Int. P.T,0.061,0.01,0.061,9.058
IRI,0.044,0.005,0.044,6.579
Ave_Inc,0.042,0.003,0.042,6.172
K.Bridges,0.033,0.006,0.033,4.911
SSD H,0.033,0.01,0.033,4.817
Kr.Kar.,0.031,0.006,0.031,4.568
KON.NAK.,0.03,0.005,0.03,4.434
Ave_Temp,0.022,0.004,0.022,3.238
Max_Snow,0.022,0.003,0.022,3.189
Max_Temp,0.021,0.003,0.021,3.137
LIMIT,0.021,0.004,0.021,3.087
PCI,0.019,0.004,0.019,2.803
PGDS_2023,0.018,0.004,0.018,2.71
Ave_Rain,0.017,0.003,0.017,2.543
Min_Temp,0.017,0.002,0.017,2.471
Аve_Height,0.016,0.002,0.016,2.394
S_NUMBER,0.012,0.002,0.012,1.835
Lat_Force,0.012,0.002,0.012,1.728
Ave_Rad,0.011,0.002,0.011,1.598
RB,0.011,0.002,0.011,1.592
RDB_RUT ,0.01,0.002,0.01,1.446
SKIDRES,0.009,0.001,0.009,1.257
V sign,0.008,0.002,0.008,1.142
SSD V,0.005,0.002,0.005,0.691
Datum,0.001,0.001,0.001,0.203
H sign,0.001,0.001,0.001,0.174
