feature,importance_mean,importance_std,importance_mean_clipped,percentage
LENGTH SECTION,0.129,0.016,0.129,19.434
Ave_Inc,0.043,0.002,0.043,6.494
Ave_Temp,0.041,0.009,0.041,6.129
SSD H,0.038,0.012,0.038,5.677
Max_Temp,0.038,0.006,0.038,5.647
K.Int. P.T,0.037,0.003,0.037,5.559
KON.NAK.,0.032,0.006,0.032,4.816
IRI,0.032,0.004,0.032,4.761
Min_Temp,0.031,0.004,0.031,4.678
PCI,0.031,0.004,0.031,4.61
Max_Snow,0.03,0.006,0.03,4.504
Ave_Rain,0.027,0.004,0.027,4.077
K.Bridges,0.027,0.006,0.027,4.005
Аve_Height,0.023,0.003,0.023,3.511
Kr.Kar.,0.021,0.004,0.021,3.129
LIMIT,0.02,0.005,0.02,2.999
RDB_RUT ,0.017,0.004,0.017,2.523
PGDS_2022,0.009,0.001,0.009,1.314
RB,0.009,0.002,0.009,1.282
S_NUMBER,0.008,0.002,0.008,1.264
SSD V,0.007,0.002,0.007,1.01
Lat_Force,0.005,0.001,0.005,0.819
Ave_Rad,0.004,0.001,0.004,0.651
V sign,0.003,0.001,0.003,0.472
H sign,0.002,0.0,0.002,0.279
Datum,0.001,0.0,0.001,0.205
SKIDRES,0.001,0.0,0.001,0.153
